  0%|                                                                                       | 0/918 [00:00<?, ?it/s]/root/anaconda3/envs/Mixture-of-Debater/lib/python3.10/site-packages/torch/utils/checkpoint.py:429: UserWarning: torch.utils.checkpoint: please pass in use_reentrant=True or use_reentrant=False explicitly. The default value of use_reentrant will be updated to be False in the future. To maintain current behavior, pass use_reentrant=True. It is recommended that you use use_reentrant=False. Refer to docs for more details on the differences between the two variants.
{'loss': 1.0104, 'learning_rate': 0.00019704851955424526, 'epoch': 0.11}
{'loss': 0.9083, 'learning_rate': 0.00019696278829718883, 'epoch': 0.11}
{'loss': 0.9743, 'learning_rate': 0.00019687584888034392, 'epoch': 0.11}
{'loss': 0.9746, 'learning_rate': 0.00019678770238697874, 'epoch': 0.11}
{'loss': 1.0286, 'learning_rate': 0.00019669834991540178, 'epoch': 0.11}
{'loss': 0.9862, 'learning_rate': 0.00019660779257894796, 'epoch': 0.11}
{'loss': 0.9354, 'learning_rate': 0.00019651603150596495, 'epoch': 0.11}
{'loss': 1.0356, 'learning_rate': 0.000196423067839799, 'epoch': 0.11}
{'loss': 0.9027, 'learning_rate': 0.00019632890273878063, 'epoch': 0.11}
{'loss': 0.9447, 'learning_rate': 0.00019623353737621035, 'epoch': 0.12}
{'loss': 1.0422, 'learning_rate': 0.00019613697294034403, 'epoch': 0.12}
{'loss': 0.9379, 'learning_rate': 0.00019603921063437793, 'epoch': 0.12}
{'loss': 0.9118, 'learning_rate': 0.0001959402516764339, 'epoch': 0.12}
{'loss': 0.9608, 'learning_rate': 0.00019584009729954396, 'epoch': 0.12}
{'loss': 0.872, 'learning_rate': 0.00019573874875163533, 'epoch': 0.12}
{'loss': 0.8759, 'learning_rate': 0.00019563620729551445, 'epoch': 0.12}
{'loss': 0.9297, 'learning_rate': 0.00019553247420885157, 'epoch': 0.12}
{'loss': 0.9021, 'learning_rate': 0.00019542755078416456, 'epoch': 0.12}
{'loss': 0.895, 'learning_rate': 0.00019532143832880309, 'epoch': 0.13}
{'loss': 0.9216, 'learning_rate': 0.00019521413816493206, 'epoch': 0.13}
{'loss': 0.9048, 'learning_rate': 0.00019510565162951537, 'epoch': 0.13}
{'loss': 0.8994, 'learning_rate': 0.0001949959800742991, 'epoch': 0.13}
{'loss': 0.967, 'learning_rate': 0.0001948851248657947, 'epoch': 0.13}
{'loss': 1.0046, 'learning_rate': 0.00019477308738526206, 'epoch': 0.13}
{'loss': 1.0181, 'learning_rate': 0.00019465986902869213, 'epoch': 0.13}
{'loss': 0.9043, 'learning_rate': 0.00019454547120678967, 'epoch': 0.13}
{'loss': 0.9112, 'learning_rate': 0.00019442989534495557, 'epoch': 0.13}
{'loss': 0.9553, 'learning_rate': 0.00019431314288326926, 'epoch': 0.14}
{'loss': 0.9504, 'learning_rate': 0.00019419521527647046, 'epoch': 0.14}
{'loss': 0.84, 'learning_rate': 0.00019407611399394143, 'epoch': 0.14}
{'loss': 0.8951, 'learning_rate': 0.00019395584051968832, 'epoch': 0.14}
{'loss': 0.7792, 'learning_rate': 0.00019383439635232294, 'epoch': 0.14}
{'loss': 0.8818, 'learning_rate': 0.00019371178300504394, 'epoch': 0.14}
{'loss': 0.9, 'learning_rate': 0.0001935880020056179, 'epoch': 0.14}
{'loss': 0.9394, 'learning_rate': 0.0001934630548963606, 'epoch': 0.14}
{'loss': 0.8448, 'learning_rate': 0.00019333694323411734, 'epoch': 0.14}
{'loss': 0.9196, 'learning_rate': 0.00019320966859024397, 'epoch': 0.14}
{'loss': 0.8824, 'learning_rate': 0.00019308123255058708, 'epoch': 0.15}
{'loss': 0.8512, 'learning_rate': 0.00019295163671546428, 'epoch': 0.15}
{'loss': 0.8992, 'learning_rate': 0.0001928208826996443, 'epoch': 0.15}
{'loss': 0.9913, 'learning_rate': 0.00019268897213232678, 'epoch': 0.15}
{'loss': 0.9524, 'learning_rate': 0.00019255590665712214, 'epoch': 0.15}
{'loss': 0.8337, 'learning_rate': 0.00019242168793203086, 'epoch': 0.15}
{'loss': 0.8205, 'learning_rate': 0.00019228631762942307, 'epoch': 0.15}
{'loss': 0.9047, 'learning_rate': 0.00019214979743601755, 'epoch': 0.15}
{'loss': 0.9106, 'learning_rate': 0.00019201212905286074, 'epoch': 0.15}
{'loss': 0.8448, 'learning_rate': 0.0001918733141953056, 'epoch': 0.16}
{'loss': 0.8527, 'learning_rate': 0.00019173335459299025, 'epoch': 0.16}
{'loss': 0.8067, 'learning_rate': 0.0001915922519898162, 'epoch': 0.16}
{'loss': 0.9414, 'learning_rate': 0.00019145000814392696, 'epoch': 0.16}
{'loss': 0.8114, 'learning_rate': 0.00019130662482768588, 'epoch': 0.16}
{'loss': 0.8924, 'learning_rate': 0.0001911621038276542, 'epoch': 0.16}
{'loss': 1.0287, 'learning_rate': 0.00019101644694456872, 'epoch': 0.16}
{'loss': 0.8487, 'learning_rate': 0.00019086965599331938, 'epoch': 0.16}
{'loss': 0.8861, 'learning_rate': 0.0001907217328029266, 'epoch': 0.16}
{'loss': 0.853, 'learning_rate': 0.00019057267921651866, 'epoch': 0.17}
{'loss': 0.8466, 'learning_rate': 0.0001904224970913085, 'epoch': 0.17}
{'loss': 0.8896, 'learning_rate': 0.00019027118829857077, 'epoch': 0.17}
{'loss': 0.8764, 'learning_rate': 0.00019011875472361837, 'epoch': 0.17}
{'loss': 0.9018, 'learning_rate': 0.00018996519826577907, 'epoch': 0.17}
{'loss': 0.9632, 'learning_rate': 0.00018981052083837186, 'epoch': 0.17}
{'loss': 0.9493, 'learning_rate': 0.00018965472436868286, 'epoch': 0.17}
{'loss': 0.8117, 'learning_rate': 0.0001894978107979417, 'epoch': 0.17}
{'loss': 0.9199, 'learning_rate': 0.00018933978208129706, 'epoch': 0.17}
{'loss': 0.8545, 'learning_rate': 0.00018918064018779232, 'epoch': 0.18}
{'loss': 0.8474, 'learning_rate': 0.00018902038710034112, 'epoch': 0.18}
{'loss': 0.8613, 'learning_rate': 0.0001888590248157027, 'epoch': 0.18}
{'loss': 1.0087, 'learning_rate': 0.0001886965553444568, 'epoch': 0.18}
{'loss': 0.8049, 'learning_rate': 0.00018853298071097883, 'epoch': 0.18}
{'loss': 0.8934, 'learning_rate': 0.0001883683029534145, 'epoch': 0.18}
{'loss': 0.8714, 'learning_rate': 0.00018820252412365458, 'epoch': 0.18}
{'loss': 0.8234, 'learning_rate': 0.00018803564628730915, 'epoch': 0.18}
{'loss': 0.8308, 'learning_rate': 0.00018786767152368197, 'epoch': 0.18}
{'loss': 0.9313, 'learning_rate': 0.0001876986019257446, 'epoch': 0.19}
{'loss': 0.7856, 'learning_rate': 0.0001875284396001102, 'epoch': 0.19}
{'loss': 0.9019, 'learning_rate': 0.0001873571866670074, 'epoch': 0.19}
{'loss': 0.8357, 'learning_rate': 0.00018718484526025387, 'epoch': 0.19}
{'loss': 0.9129, 'learning_rate': 0.00018701141752722964, 'epoch': 0.19}
{'loss': 0.8212, 'learning_rate': 0.00018683690562885043, 'epoch': 0.19}
{'loss': 0.8605, 'learning_rate': 0.0001866613117395407, 'epoch': 0.19}
{'loss': 0.8359, 'learning_rate': 0.00018648463804720654, 'epoch': 0.19}
{'loss': 0.8823, 'learning_rate': 0.00018630688675320842, 'epoch': 0.19}
{'loss': 0.8525, 'learning_rate': 0.00018612806007233383, 'epoch': 0.19}
{'loss': 0.8961, 'learning_rate': 0.00018594816023276953, 'epoch': 0.2}
{'loss': 0.8263, 'learning_rate': 0.00018576718947607392, 'epoch': 0.2}
{'loss': 0.9205, 'learning_rate': 0.0001855851500571491, 'epoch': 0.2}
{'loss': 0.8911, 'learning_rate': 0.00018540204424421263, 'epoch': 0.2}
{'loss': 0.9385, 'learning_rate': 0.00018521787431876954, 'epoch': 0.2}
{'loss': 1.0113, 'learning_rate': 0.00018503264257558355, 'epoch': 0.2}
{'loss': 0.8699, 'learning_rate': 0.0001848463513226488, 'epoch': 0.2}
{'loss': 0.8516, 'learning_rate': 0.00018465900288116096, 'epoch': 0.2}
{'loss': 0.8312, 'learning_rate': 0.0001844705995854882, 'epoch': 0.2}
{'loss': 0.9071, 'learning_rate': 0.00018428114378314235, 'epoch': 0.21}
{'loss': 0.8651, 'learning_rate': 0.0001840906378347494, 'epoch': 0.21}
{'loss': 0.9971, 'learning_rate': 0.00018389908411402026, 'epoch': 0.21}
{'loss': 0.9172, 'learning_rate': 0.00018370648500772108, 'epoch': 0.21}
{'loss': 0.8601, 'learning_rate': 0.00018351284291564358, 'epoch': 0.21}
{'loss': 0.9449, 'learning_rate': 0.0001833181602505751, 'epoch': 0.21}
{'loss': 0.8407, 'learning_rate': 0.00018312243943826854, 'epoch': 0.21}
{'loss': 0.8703, 'learning_rate': 0.00018292568291741228, 'epoch': 0.21}
{'loss': 0.8026, 'learning_rate': 0.00018272789313959943, 'epoch': 0.21}
{'loss': 0.8925, 'learning_rate': 0.00018252907256929775, 'epoch': 0.22}
{'loss': 0.8354, 'learning_rate': 0.00018232922368381857, 'epoch': 0.22}
{'loss': 0.8511, 'learning_rate': 0.00018212834897328613, 'epoch': 0.22}
{'loss': 0.8779, 'learning_rate': 0.0001819264509406064, 'epoch': 0.22}
{'loss': 0.8406, 'learning_rate': 0.0001817235321014361, 'epoch': 0.22}
{'loss': 0.8976, 'learning_rate': 0.00018151959498415122, 'epoch': 0.22}
{'loss': 0.912, 'learning_rate': 0.0001813146421298154, 'epoch': 0.22}
{'loss': 0.8574, 'learning_rate': 0.00018110867609214855, 'epoch': 0.22}
{'loss': 0.8185, 'learning_rate': 0.00018090169943749476, 'epoch': 0.22}
{'loss': 0.8287, 'learning_rate': 0.00018069371474479056, 'epoch': 0.23}
{'loss': 0.8568, 'learning_rate': 0.00018048472460553257, 'epoch': 0.23}
{'loss': 0.8561, 'learning_rate': 0.0001802747316237454, 'epoch': 0.23}
{'loss': 0.8291, 'learning_rate': 0.00018006373841594905, 'epoch': 0.23}
{'loss': 0.8392, 'learning_rate': 0.00017985174761112638, 'epoch': 0.23}
{'loss': 0.9329, 'learning_rate': 0.00017963876185069034, 'epoch': 0.23}
{'loss': 0.7864, 'learning_rate': 0.0001794247837884511, 'epoch': 0.23}
{'loss': 0.9437, 'learning_rate': 0.00017920981609058289, 'epoch': 0.23}
{'loss': 0.8389, 'learning_rate': 0.00017899386143559092, 'epoch': 0.23}
{'loss': 0.7456, 'learning_rate': 0.00017877692251427782, 'epoch': 0.24}
{'loss': 0.8055, 'learning_rate': 0.00017855900202971029, 'epoch': 0.24}
{'loss': 0.9047, 'learning_rate': 0.00017834010269718526, 'epoch': 0.24}
{'loss': 0.8441, 'learning_rate': 0.00017812022724419623, 'epoch': 0.24}
{'loss': 0.796, 'learning_rate': 0.00017789937841039918, 'epoch': 0.24}
{'loss': 0.9459, 'learning_rate': 0.0001776775589475784, 'epoch': 0.24}
{'loss': 0.7815, 'learning_rate': 0.0001774547716196123, 'epoch': 0.24}
{'loss': 0.9641, 'learning_rate': 0.0001772310192024389, 'epoch': 0.24}
{'loss': 0.9209, 'learning_rate': 0.00017700630448402125, 'epoch': 0.24}
{'loss': 0.7614, 'learning_rate': 0.00017678063026431274, 'epoch': 0.25}
{'loss': 0.8433, 'learning_rate': 0.00017655399935522217, 'epoch': 0.25}
{'loss': 0.84, 'learning_rate': 0.00017632641458057872, 'epoch': 0.25}
{'loss': 0.8038, 'learning_rate': 0.0001760978787760968, 'epoch': 0.25}
{'loss': 0.8227, 'learning_rate': 0.0001758683947893406, 'epoch': 0.25}
{'loss': 0.8543, 'learning_rate': 0.0001756379654796888, 'epoch': 0.25}
{'loss': 0.8391, 'learning_rate': 0.00017540659371829875, 'epoch': 0.25}
{'loss': 0.7973, 'learning_rate': 0.00017517428238807085, 'epoch': 0.25}
{'loss': 0.9364, 'learning_rate': 0.0001749410343836125, 'epoch': 0.25}
{'loss': 0.8521, 'learning_rate': 0.0001747068526112022, 'epoch': 0.25}
{'loss': 0.8862, 'learning_rate': 0.00017447173998875307, 'epoch': 0.26}
{'loss': 0.9432, 'learning_rate': 0.00017423569944577678, 'epoch': 0.26}
{'loss': 0.8278, 'learning_rate': 0.00017399873392334692, 'epoch': 0.26}
{'loss': 0.8799, 'learning_rate': 0.00017376084637406222, 'epoch': 0.26}
{'loss': 0.8515, 'learning_rate': 0.0001735220397620101, 'epoch': 0.26}
{'loss': 0.8561, 'learning_rate': 0.0001732823170627294, 'epoch': 0.26}
{'loss': 0.8151, 'learning_rate': 0.00017304168126317348, 'epoch': 0.26}
{'loss': 0.9109, 'learning_rate': 0.00017280013536167293, 'epoch': 0.26}
{'loss': 0.8541, 'learning_rate': 0.00017255768236789826, 'epoch': 0.26}
{'loss': 0.8236, 'learning_rate': 0.00017231432530282246, 'epoch': 0.27}
{'loss': 0.8069, 'learning_rate': 0.00017207006719868314, 'epoch': 0.27}
{'loss': 0.9538, 'learning_rate': 0.000171824911098945, 'epoch': 0.27}
{'loss': 0.8372, 'learning_rate': 0.00017157886005826173, 'epoch': 0.27}
{'loss': 0.8576, 'learning_rate': 0.00017133191714243805, 'epoch': 0.27}
{'loss': 0.7687, 'learning_rate': 0.00017108408542839144, 'epoch': 0.27}
{'loss': 0.869, 'learning_rate': 0.00017083536800411393, 'epoch': 0.27}
{'loss': 0.8421, 'learning_rate': 0.0001705857679686334, 'epoch': 0.27}
{'loss': 0.802, 'learning_rate': 0.00017033528843197525, 'epoch': 0.27}
{'loss': 0.7091, 'learning_rate': 0.00017008393251512332, 'epoch': 0.28}
{'loss': 0.8622, 'learning_rate': 0.00016983170334998132, 'epoch': 0.28}
{'loss': 0.8428, 'learning_rate': 0.00016957860407933355, 'epoch': 0.28}
{'loss': 0.7435, 'learning_rate': 0.000169324637856806, 'epoch': 0.28}
{'loss': 0.7672, 'learning_rate': 0.00016906980784682678, 'epoch': 0.28}
{'loss': 0.799, 'learning_rate': 0.00016881411722458688, 'epoch': 0.28}
{'loss': 0.8651, 'learning_rate': 0.00016855756917600055, 'epoch': 0.28}
{'loss': 0.8478, 'learning_rate': 0.00016830016689766558, 'epoch': 0.28}
{'loss': 0.8699, 'learning_rate': 0.00016804191359682356, 'epoch': 0.28}
{'loss': 0.8204, 'learning_rate': 0.0001677828124913197, 'epoch': 0.29}
{'loss': 0.9219, 'learning_rate': 0.00016752286680956306, 'epoch': 0.29}
{'loss': 0.8431, 'learning_rate': 0.00016726207979048604, 'epoch': 0.29}
{'loss': 0.7058, 'learning_rate': 0.0001670004546835042, 'epoch': 0.29}
{'loss': 0.8522, 'learning_rate': 0.0001667379947484756, 'epoch': 0.29}
{'loss': 0.8927, 'learning_rate': 0.00016647470325566044, 'epoch': 0.29}
{'loss': 0.8218, 'learning_rate': 0.00016621058348568007, 'epoch': 0.29}
{'loss': 0.8364, 'learning_rate': 0.00016594563872947613, 'epoch': 0.29}
{'loss': 0.774, 'learning_rate': 0.0001656798722882698, 'epoch': 0.29}
{'loss': 0.8465, 'learning_rate': 0.00016541328747352033, 'epoch': 0.3}
{'loss': 0.7999, 'learning_rate': 0.00016514588760688397, 'epoch': 0.3}
{'loss': 0.8857, 'learning_rate': 0.00016487767602017263, 'epoch': 0.3}
{'loss': 0.7388, 'learning_rate': 0.00016460865605531213, 'epoch': 0.3}
{'loss': 0.8595, 'learning_rate': 0.00016433883106430086, 'epoch': 0.3}
{'loss': 0.8201, 'learning_rate': 0.0001640682044091678, 'epoch': 0.3}
{'loss': 0.8235, 'learning_rate': 0.00016379677946193062, 'epoch': 0.3}
{'loss': 0.8209, 'learning_rate': 0.00016352455960455387, 'epoch': 0.3}
{'loss': 0.9049, 'learning_rate': 0.00016325154822890663, 'epoch': 0.3}
{'loss': 0.7648, 'learning_rate': 0.00016297774873672035, 'epoch': 0.31}
{'loss': 0.8062, 'learning_rate': 0.00016270316453954645, 'epoch': 0.31}
{'loss': 0.81, 'learning_rate': 0.00016242779905871374, 'epoch': 0.31}
{'loss': 0.7944, 'learning_rate': 0.00016215165572528597, 'epoch': 0.31}
{'loss': 0.7506, 'learning_rate': 0.00016187473798001879, 'epoch': 0.31}
{'loss': 0.7803, 'learning_rate': 0.00016159704927331723, 'epoch': 0.31}
{'loss': 0.7688, 'learning_rate': 0.00016131859306519242, 'epoch': 0.31}
{'loss': 0.7418, 'learning_rate': 0.0001610393728252186, 'epoch': 0.31}
{'loss': 0.8935, 'learning_rate': 0.0001607593920324899, 'epoch': 0.31}
{'loss': 0.8787, 'learning_rate': 0.00016047865417557694, 'epoch': 0.31}
{'loss': 0.8801, 'learning_rate': 0.00016019716275248342, 'epoch': 0.32}
{'loss': 0.9368, 'learning_rate': 0.0001599149212706024, 'epoch': 0.32}
{'loss': 0.7679, 'learning_rate': 0.0001596319332466729, 'epoch': 0.32}
{'loss': 0.8062, 'learning_rate': 0.00015934820220673564, 'epoch': 0.32}
{'loss': 0.9013, 'learning_rate': 0.00015906373168608952, 'epoch': 0.32}
{'loss': 0.8151, 'learning_rate': 0.00015877852522924732, 'epoch': 0.32}
{'loss': 0.7876, 'learning_rate': 0.00015849258638989165, 'epoch': 0.32}
{'loss': 0.8616, 'learning_rate': 0.00015820591873083058, 'epoch': 0.32}
{'loss': 0.809, 'learning_rate': 0.00015791852582395334, 'epoch': 0.32}
{'loss': 0.8879, 'learning_rate': 0.0001576304112501858, 'epoch': 0.33}
{'loss': 0.8264, 'learning_rate': 0.00015734157859944575, 'epoch': 0.33}
{'loss': 0.7306, 'learning_rate': 0.0001570520314705983, 'epoch': 0.33}
{'loss': 0.8709, 'learning_rate': 0.00015676177347141094, 'epoch': 0.33}
{'loss': 0.844, 'learning_rate': 0.0001564708082185087, 'epoch': 0.33}
{'loss': 0.74, 'learning_rate': 0.00015617913933732892, 'epoch': 0.33}
{'loss': 0.8158, 'learning_rate': 0.0001558867704620763, 'epoch': 0.33}
{'loss': 0.8515, 'learning_rate': 0.00015559370523567732, 'epoch': 0.33}
{'loss': 0.8754, 'learning_rate': 0.00015529994730973523, 'epoch': 0.33}
{'loss': 0.7551, 'learning_rate': 0.00015500550034448413, 'epoch': 0.34}
{'loss': 0.8283, 'learning_rate': 0.00015471036800874375, 'epoch': 0.34}
{'loss': 0.8445, 'learning_rate': 0.0001544145539798734, 'epoch': 0.34}
{'loss': 0.9044, 'learning_rate': 0.00015411806194372645, 'epoch': 0.34}
{'loss': 0.8549, 'learning_rate': 0.00015382089559460422, 'epoch': 0.34}
{'loss': 0.8548, 'learning_rate': 0.00015352305863520991, 'epoch': 0.34}
{'loss': 0.8131, 'learning_rate': 0.00015322455477660273, 'epoch': 0.34}
{'loss': 0.7739, 'learning_rate': 0.00015292538773815128, 'epoch': 0.34}
{'loss': 0.7343, 'learning_rate': 0.00015262556124748751, 'epoch': 0.34}
{'loss': 0.8553, 'learning_rate': 0.0001523250790404602, 'epoch': 0.35}
